baseline_id,method,seed,dataset,status,pass_reproduction,expected_psnr,psnr,psnr_diff,expected_E_corr,E_corr,E_corr_diff,n,config_path,checkpoint_last,run_dir,note,ssim,lee,nai,E_MAE,E_MAE_aligned,q_ece,identity_drop,input_psnr,over,under,checkpoint_best_balanced,end_time,real_E_corr_mean,real_E_corr_std,real_psnr_diff,real_psnr_expected,real_psnr_mean,real_psnr_std,source_commit,start_time,synthetic_E_corr_mean,synthetic_E_corr_std,synthetic_psnr_diff,synthetic_psnr_expected,synthetic_psnr_mean,synthetic_psnr_std,uefb_E_corr_diff,uefb_E_corr_expected,uefb_E_corr_mean,uefb_E_corr_std,uefb_psnr_diff,uefb_psnr_expected,uefb_psnr_mean,uefb_psnr_std
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,3407,uefb,ok,seed_trace_only,,17.9811068611145,,,0.43985495356749743,,500,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0050.yml,/home/user/a1_rlef_project/experiments/p3b_m4j_es_m4_joint_eshape_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3b_m4j_es_m4_joint_eshape_seed3407,"P3c seed3407 reuses P3b M4J_ES checkpoint, as recorded by run_p3c_multiseed_sweep.py; P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.",0.8038888010978699,0.2660055019073188,1.664234989643097,0.29185761863738297,0.19979707964509724,0.41910166205465793,4.985483946800232,12.995622906684876,1.8310547557121027e-06,4.630533972795092e-05,,2026-07-02T16:42:55.814353+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,3407,real,ok,seed_trace_only,,20.277040662765504,,,0.6482521766424179,,100,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0050.yml,/home/user/a1_rlef_project/experiments/p3b_m4j_es_m4_joint_eshape_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3b_m4j_es_m4_joint_eshape_seed3407,"P3c seed3407 reuses P3b M4J_ES checkpoint, as recorded by run_p3c_multiseed_sweep.py; P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.",0.7918556445837021,0.22181059673428535,2.326902861595154,0.5644065717607737,0.3058271846175194,0.5509941506385804,10.558825459480286,9.718215217590332,2.976388921524631e-05,0.0,,2026-07-02T16:42:55.814376+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,3407,synthetic,ok,seed_trace_only,,17.140526418685912,,,0.7991548854112626,,100,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0050.yml,/home/user/a1_rlef_project/experiments/p3b_m4j_es_m4_joint_eshape_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3b_m4j_es_m4_joint_eshape_seed3407,"P3c seed3407 reuses P3b M4J_ES checkpoint, as recorded by run_p3c_multiseed_sweep.py; P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.",0.7430509057641029,0.38118875357322396,1.2214265888929368,0.7858886558935047,0.5171821771748364,0.5765399113297462,5.919598679542542,11.220927743911743,2.0593714070855638e-05,0.0,,2026-07-02T16:42:55.814389+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,2027,uefb,ok,seed_trace_only,,18.14979832649231,,,0.43456830429937693,,500,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed2027_e0050.yml,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed2027_e0050/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed2027_e0050,P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.,0.8094445511102676,0.25701115001924335,1.7420671910047532,0.26154334148019553,0.19680385702848435,0.4025779501050711,5.154175417900086,12.995622906684876,0.0008930359148689604,4.570516076455533e-05,,2026-07-02T16:43:13.675094+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,2027,real,ok,seed_trace_only,,19.914495515823365,,,0.7256371754407883,,100,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed2027_e0050.yml,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed2027_e0050/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed2027_e0050,P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.,0.7748457711935043,0.2206816852837801,2.378348013162613,0.3155945397913456,0.23108128152787685,0.577765045017004,10.196280303001403,9.718215217590332,7.472222295746179e-05,0.0,,2026-07-02T16:43:13.675114+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,2027,synthetic,ok,seed_trace_only,,17.379152660369872,,,0.8550764727592468,,100,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed2027_e0050.yml,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed2027_e0050/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed2027_e0050,P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.,0.745288900732994,0.35739351715892553,1.3167890751361846,0.606749193109572,0.4387470358423889,0.5287033894658089,6.158224921226502,11.220927743911743,0.0004165310306916581,2.3509837410529144e-06,,2026-07-02T16:43:13.675123+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,42,uefb,ok,seed_trace_only,,17.61270069503784,,,0.4339875929350965,,500,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed42_e0050.yml,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed42_e0050/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed42_e0050,P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.,0.8080207085609437,0.268598179385066,1.7515775419473647,0.2760694233626127,0.21123550217598677,0.42351403763890266,4.617077789306641,12.995622906684876,1.9124348982586524e-06,2.13623046875e-07,,2026-07-02T16:43:31.409273+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,42,real,ok,seed_trace_only,,19.870283222198488,,,0.7485140642523765,,100,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed42_e0050.yml,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed42_e0050/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed42_e0050,P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.,0.7788351607322693,0.23765803061425686,2.3178249263763426,0.29358872435986993,0.2128353490680456,0.5487538772821426,10.152068009376526,9.718215217590332,9.444444467590074e-06,0.0,,2026-07-02T16:43:31.409292+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,42,synthetic,ok,seed_trace_only,,18.515141887664797,,,0.8679296773672104,,100,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed42_e0050.yml,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed42_e0050/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed42_e0050,P3c seed row retained for traceability; threshold applies to the 3-seed aggregate row.,0.77252271682024,0.2841420426405966,1.3579815715551375,0.4611134346947074,0.37499629743397234,0.5468546313047409,7.294214148521423,11.220927743911743,6.295663223227166e-05,0.0,,2026-07-02T16:43:31.409300+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B0_P3c_M4J_ES_e0050,B0 P3c M4J_ES e_shape=0.05,mean±std,p3c_multiseed_aggregate,ok,True,,,,,,,,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0050.yml;/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed2027_e0050.yml;/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed42_e0050.yml,/home/user/a1_rlef_project/experiments/p3b_m4j_es_m4_joint_eshape_seed3407/checkpoints/last.pth;/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed2027_e0050/checkpoints/last.pth;/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed42_e0050/checkpoints/last.pth,,aggregate row compares P3c 3-seed mean to prompt/A1_QA expected mean; seed rows above are included for traceability,,,,,,,,,,,,2026-07-02T16:43:31.416466+00:00,0.7074678054451943,0.05254242125469279,-0.00039353307088063616,20.021,20.02060646692912,0.2231760612668466,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,0.84072034517924,0.03656592404775315,0.00027365557352609926,17.678,17.678273655573527,0.7345045603791227,0.00013695026732363225,0.436,0.43613695026732363,0.0032329503286052308,-0.00046470578511303984,17.915,17.914535294214886,0.27466761106490634
B1_P6_MS_M4J_ES,B1 P6_MS_M4J_ES,3407,uefb,ok,True,18.015,18.01507918548584,7.918548583774054e-05,,0.46372391109215094,,500,/home/user/a1_rlef_project/configs/p6_structural_backbone/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone.yml,/home/user/a1_rlef_project/experiments/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone_seed3407,,0.8042977310419083,0.26751686445623635,1.7051438660621643,0.26866154417395594,0.1937878990396857,0.4218419110774994,5.019456279754639,12.995622906684876,1.413981207406323e-06,0.0,,2026-07-02T16:43:49.852404+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B1_P6_MS_M4J_ES,B1 P6_MS_M4J_ES,3407,real,ok,True,20.197,20.196916770935058,-8.322906494129256e-05,,0.6288594188913703,,100,/home/user/a1_rlef_project/configs/p6_structural_backbone/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone.yml,/home/user/a1_rlef_project/experiments/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone_seed3407,,0.7847263890504838,0.21442044503986835,2.404168084859848,0.35339568242430686,0.2716810696572065,0.5365916293859482,10.47870156288147,9.718215217590332,2.4430555622529937e-05,0.0,,2026-07-02T16:43:49.852420+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B1_P6_MS_M4J_ES,B1 P6_MS_M4J_ES,3407,synthetic,ok,True,17.598,17.59765707015991,-0.0003429298400874359,,0.8119656559824944,,100,/home/user/a1_rlef_project/configs/p6_structural_backbone/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone.yml,/home/user/a1_rlef_project/experiments/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p6_p6_ms_m4j_es_m4j_eshape_multiscale_backbone_seed3407,,0.7592092883586884,0.3095694976858795,1.2588043957948685,0.5490597989596426,0.48398508489131925,0.578538883626461,6.376729316711426,11.220927743911743,4.295066569284245e-06,0.0,,2026-07-02T16:43:49.852429+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B2_P7_MS_DHEAD,B2 P7_MS_DHEAD,3407,uefb,ok,True,18.232,18.232473875045777,0.0004738750457775609,,0.4490452868444845,,500,/home/user/a1_rlef_project/configs/p7_domainhead/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias.yml,/home/user/a1_rlef_project/experiments/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias_seed3407,domain_adapter=head_bias,0.8093768837451935,0.25997458352521063,1.8524445395469666,0.2689545268267393,0.19290224832016975,0.42074926307797433,5.236850964546203,12.995622906684876,0.0,6.103515625e-08,,2026-07-02T16:44:08.295167+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B2_P7_MS_DHEAD,B2 P7_MS_DHEAD,3407,real,ok,True,19.209,19.208695125579833,-0.0003048744201663567,,0.7062419405579567,,100,/home/user/a1_rlef_project/configs/p7_domainhead/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias.yml,/home/user/a1_rlef_project/experiments/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias_seed3407,domain_adapter=head_bias,0.7790803456306458,0.23920388791710137,2.7905225801467894,0.3355371432751417,0.24671085514128208,0.5769497182965279,9.490479917526246,9.718215217590332,3.976388887167559e-05,0.0,,2026-07-02T16:44:08.295185+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B2_P7_MS_DHEAD,B2 P7_MS_DHEAD,3407,synthetic,ok,True,17.913,17.91337393760681,0.00037393760680970445,,0.8266446921229362,,100,/home/user/a1_rlef_project/configs/p7_domainhead/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias.yml,/home/user/a1_rlef_project/experiments/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias_seed3407,domain_adapter=head_bias,0.7733059400320053,0.2867071031406522,1.385512273311615,0.5141088584810496,0.4425704044103622,0.5802710089087486,6.692446184158325,11.220927743911743,1.1754919160011923e-06,0.0,,2026-07-02T16:44:08.295193+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B3_P7B_DHEAD_RA010,B3 P7B_DHEAD_RA010,3407,uefb,ok,True,18.085,18.0850629196167,6.29196166990198e-05,,0.43838383135208275,,500,/home/user/a1_rlef_project/configs/p7b_realanchor/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010.yml,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010_seed3407,"domain_adapter=head_bias, real_anchor_weight=0.010",0.8059873353242875,0.27219683449342846,1.8051662335395813,0.2676946811452508,0.19431248738523574,0.408107676461339,5.089440015792847,12.995622906684876,0.0,6.1543784095192674e-06,,2026-07-02T16:44:26.881543+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B3_P7B_DHEAD_RA010,B3 P7B_DHEAD_RA010,3407,real,ok,True,19.847,19.84705744743347,5.7447433469803855e-05,,0.7293146651983261,,100,/home/user/a1_rlef_project/configs/p7b_realanchor/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010.yml,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010_seed3407,"domain_adapter=head_bias, real_anchor_weight=0.010",0.7851390105485916,0.22068347603082658,2.6806890392303466,0.3147295857965946,0.23987044416368009,0.5442366778850556,10.128842239379884,9.718215217590332,1.6472222087031695e-05,0.0,,2026-07-02T16:44:26.881568+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B3_P7B_DHEAD_RA010,B3 P7B_DHEAD_RA010,3407,synthetic,ok,True,17.965,17.96549958229065,0.0004995822906508351,,0.8407636713981629,,100,/home/user/a1_rlef_project/configs/p7b_realanchor/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010.yml,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010_seed3407/checkpoints/last.pth,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010_seed3407,"domain_adapter=head_bias, real_anchor_weight=0.010",0.7717102473974228,0.3044981029070914,1.3766567200422286,0.5386350983008742,0.4482694092206657,0.589394137263298,6.744571843147278,11.220927743911743,5.108868708703085e-06,0.0,,2026-07-02T16:44:26.881577+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B4_Retinexformer_official_blind,Retinexformer,official,real,ok,True,22.794,22.79388285636902,-0.00011714363098036529,,,,100,,,/home/user/a1_rlef_project/experiments/p4_official_baselines/retinexformer/results/LOL_v2_real/RetinexFormer_LOL_v2_real/LOL_v2_real,official output directory re-evaluated; no external inference rerun,0.8420706051588058,0.1864641983062029,3.2153385400772097,,,,13.075667996406555,9.718214888572692,0.0006290555555960964,0.00035595833288425637,,2026-07-02T16:45:01.174096+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B4_Retinexformer_official_blind,Retinexformer,official,synthetic,ok,True,25.669,25.668988761901854,-1.1238098146293396e-05,,,,100,,,/home/user/a1_rlef_project/experiments/p4_official_baselines/retinexformer/results/LOL_v2_synthetic/RetinexFormer_LOL_v2_synthetic/LOL_v2_synthetic,official output directory re-evaluated; no external inference rerun,0.9285000318288803,0.1250442335009575,2.1598500871658324,,,,14.448061246871948,11.220927395820617,0.005218573689066943,0.004482806260216421,,2026-07-02T16:45:01.174122+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B5_Zero_DCEpp_official,Zero-DCE++,official,real,ok,True,18.491,18.490733785629274,-0.0002662143707254927,,,,100,,,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/real,official output directory re-evaluated; no external inference rerun,0.5930840206146241,0.4450335358455777,4.98403945684433,,,,8.777532343864442,9.713201432228088,9.046015704370802e-05,0.06697309236682486,,2026-07-02T16:45:01.174130+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B5_Zero_DCEpp_official,Zero-DCE++,official,synthetic,ok,True,17.576,17.57644090652466,0.0004409065246591126,,,,100,,,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic,official output directory re-evaluated; no external inference rerun,0.8105815333127976,0.41255780044943097,2.334061104059219,,,,6.355513505935669,11.220927395820617,0.009270268192963158,0.029672490214693426,,2026-07-02T16:45:01.174135+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B6_KinDpp_high_assisted_context,KinD++ high-assisted official code,official,real,context_only,,,22.210949687957765,,,,,100,,,/home/user/a1_rlef_project/experiments/p4_official_baselines/kindpp/results/real/LOLdataset,context only; KinD++ is high-assisted and not a blind fair baseline,0.8410520964860916,0.1481490283086896,4.61040726184845,,,,,,,,,2026-07-02T16:45:01.174142+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
B6_KinDpp_high_assisted_context,KinD++ high-assisted official code,official,synthetic,context_only,,,19.259352045059202,,,,,100,,,/home/user/a1_rlef_project/experiments/p4_official_baselines/kindpp/results/synthetic/LOLdataset,context only; KinD++ is high-assisted and not a blind fair baseline,0.8047349369525909,0.21477956391870975,2.586823433637619,,,,,,,,,2026-07-02T16:45:01.174146+00:00,,,,,,,b6d24a72347af86fca885bed9124be759552b5f8,2026-07-02T16:42:37.472031+00:00,,,,,,,,,,,,,,
